id,title,category,source_type,source,updated_at
scholarship_001,장학금 지급 규정,scholarship,url,https://m.yongin.ac.kr/cmn/m/sym/mnu/mpm/406040100/htmlMenuView.do,2026-03-01
scholarship_002,장학금 지급 안내,scholarship,url,https://www.yongin.ac.kr/cmn/sym/mnu/mpm/606010000/htmlMenuView.do,2026-03-01
scholarship_003,장학 지급 규정 안내,scholarship,url,https://www.yongin.ac.kr/cmn/sym/mnu/mpm/105040100/htmlMenuView.do#tab-1,2026-03-01
scholarship_004,교내 장학금,scholarship,url,https://www.yongin.ac.kr/cmn/sym/mnu/mpm/105040100/htmlMenuView.do#tab-2,2026-03-01
scholarship_005,교외 장학금,scholarship,url,https://www.yongin.ac.kr/cmn/sym/mnu/mpm/105040100/htmlMenuView.do#tab-3,2026-03-01
faq_001,장학·대출 FAQ,faq,url,https://www.yongin.ac.kr/cmn/board/SYSTEM_DEFAULT000014/bbsList.do,2026-03-01
faq_002,장학·대출 Q&A,faq,url,https://www.yongin.ac.kr/cmn/board/SYSTEM_DEFAULT000017/bbsList.do,2026-03-01
